Internal ID	Q1: GOING OUT?	Q2: GENDER	Q3: AGE	Q4: COUNTRY	"Q5: STATE, PROVINCE, COUNTY, ETC"	Q6 | 100 Grand Bar	"Q6 | Anonymous brown globs that come in black and orange wrappers	(a.k.a. Mary Janes)"	Q6 | Any full-sized candy bar	Q6 | Black Jacks	Q6 | Bonkers (the candy)	Q6 | Bonkers (the board game)	Q6 | Bottle Caps	Q6 | Box'o'Raisins	Q6 | Broken glow stick	Q6 | Butterfinger	Q6 | Cadbury Creme Eggs	Q6 | Candy Corn	Q6 | Candy that is clearly just the stuff given out for free at restaurants	Q6 | Caramellos	"Q6 | Cash, or other forms of legal tender"	Q6 | Chardonnay	Q6 | Chick-o-Sticks (we don t know what that is)	Q6 | Chiclets	Q6 | Coffee Crisp	Q6 | Creepy Religious comics/Chick Tracts	Q6 | Dental paraphenalia	Q6 | Dots	Q6 | Dove Bars	Q6 | Fuzzy Peaches	Q6 | Generic Brand Acetaminophen	Q6 | Glow sticks	Q6 | Goo Goo Clusters	Q6 | Good N' Plenty	Q6 | Gum from baseball cards	Q6 | Gummy Bears straight up	Q6 | Hard Candy	Q6 | Healthy Fruit	Q6 | Heath Bar	Q6 | Hershey's Dark Chocolate	Q6 | Hershey s Milk Chocolate	Q6 | Hershey's Kisses	Q6 | Hugs (actual physical hugs)	Q6 | Jolly Rancher (bad flavor)	Q6 | Jolly Ranchers (good flavor)	Q6 | JoyJoy (Mit Iodine!)	Q6 | Junior Mints	Q6 | Senior Mints	Q6 | Kale smoothie	Q6 | Kinder Happy Hippo	Q6 | Kit Kat	Q6 | LaffyTaffy	Q6 | LemonHeads	Q6 | Licorice (not black)	Q6 | Licorice (yes black)	Q6 | Lindt Truffle	Q6 | Lollipops	Q6 | Mars	Q6 | Maynards	Q6 | Mike and Ike	Q6 | Milk Duds	Q6 | Milky Way	Q6 | Regular M&Ms	Q6 | Peanut M&M s	Q6 | Blue M&M's	Q6 | Red M&M's	Q6 | Green Party M&M's	Q6 | Independent M&M's	Q6 | Abstained from M&M'ing.	Q6 | Minibags of chips	Q6 | Mint Kisses	Q6 | Mint Juleps	Q6 | Mr. Goodbar	Q6 | Necco Wafers	Q6 | Nerds	Q6 | Nestle Crunch	Q6 | Now'n'Laters	Q6 | Peeps	Q6 | Pencils	Q6 | Pixy Stix	Q6 | Real Housewives of Orange County Season 9 Blue-Ray	Q6 | Reese s Peanut Butter Cups	Q6 | Reese's Pieces	Q6 | Reggie Jackson Bar	Q6 | Rolos	Q6 | Sandwich-sized bags filled with BooBerry Crunch	Q6 | Skittles	Q6 | Smarties (American)	Q6 | Smarties (Commonwealth)	Q6 | Snickers	Q6 | Sourpatch Kids (i.e. abominations of nature)	Q6 | Spotted Dick	Q6 | Starburst	Q6 | Sweet Tarts	Q6 | Swedish Fish	Q6 | Sweetums (a friend to diabetes)	Q6 | Take 5	Q6 | Tic Tacs	Q6 | Those odd marshmallow circus peanut things	Q6 | Three Musketeers	Q6 | Tolberone something or other	Q6 | Trail Mix	Q6 | Twix	"Q6 | Vials of pure high fructose corn syrup, for main-lining into your vein"	Q6 | Vicodin	Q6 | Whatchamacallit Bars	Q6 | White Bread	Q6 | Whole Wheat anything	Q6 | York Peppermint Patties	Q7: JOY OTHER	Q8: DESPAIR OTHER	Q9: OTHER COMMENTS	Q10: DRESS		Q11: DAY	Q12: MEDIA [Daily Dish]	Q12: MEDIA [Science]	Q12: MEDIA [ESPN]	Q12: MEDIA [Yahoo]	"Click Coordinates (x, y)"
90272861	Yes	Male	43																																																																																																																				
90272865	No	Male	56	Canada	Quebec	JOY	MEH	JOY	MEH	MEH	JOY	DESPAIR	DESPAIR	DESPAIR	JOY	MEH	MEH	DESPAIR	JOY	JOY	JOY	MEH	MEH	JOY	DESPAIR	DESPAIR	DESPAIR	DESPAIR	DESPAIR	DESPAIR	MEH	MEH	MEH	DESPAIR		MEH	DESPAIR	JOY	MEH	MEH	MEH	JOY	MEH	MEH	MEH	MEH	MEH	DESPAIR	JOY	JOY	MEH	JOY	MEH	JOY	JOY	MEH	JOY	MEH	MEH	MEH	JOY	JOY	JOY	MEH	MEH	MEH	MEH	DESPAIR	DESPAIR	MEH	MEH	JOY	MEH	MEH	JOY	MEH	DESPAIR	DESPAIR	MEH	DESPAIR	MEH	MEH	MEH	MEH	MEH	DESPAIR	MEH	MEH	JOY	DESPAIR	MEH	DESPAIR	DESPAIR	JOY	DESPAIR	DESPAIR	DESPAIR	DESPAIR	DESPAIR	JOY	MEH	MEH	DESPAIR	MEH	MEH	JOY	DESPAIR	MEH				White and gold		Friday		1			"(73, 24)"
90272866	No	Male	64	US	NY	MEH	MEH	JOY	MEH	MEH	DESPAIR	DESPAIR	MEH		JOY	JOY	DESPAIR	DESPAIR	MEH	JOY	JOY	DESPAIR	DESPAIR	DESPAIR	DESPAIR	DESPAIR	MEH	MEH	DESPAIR	DESPAIR	DESPAIR	DESPAIR	MEH	DESPAIR	MEH	MEH	DESPAIR	MEH	JOY	MEH	JOY	MEH	DESPAIR	JOY	DESPAIR	MEH	MEH	DESPAIR	MEH	MEH	DESPAIR	JOY	MEH	JOY	JOY	DESPAIR	JOY	DESPAIR	JOY	JOY	JOY	MEH	JOY	JOY	JOY	MEH	MEH	MEH	JOY	DESPAIR	MEH	JOY	JOY	MEH	JOY	MEH	DESPAIR	DESPAIR	DESPAIR	DESPAIR	MEH	MEH	MEH	MEH	DESPAIR	MEH	MEH	MEH	JOY	DESPAIR	DESPAIR	DESPAIR	JOY	MEH	MEH	MEH	DESPAIR	DESPAIR	JOY	JOY	DESPAIR	MEH	JOY	JOY	DESPAIR	DESPAIR	DESPAIR	MEH				White and gold		Sunday		1			"(77, 24)"
90272867	Yes	Male	43	Murica	California	JOY	DESPAIR	JOY	MEH	MEH	DESPAIR	MEH	DESPAIR	DESPAIR	JOY	MEH	MEH	DESPAIR	JOY	JOY	MEH	MEH	MEH	MEH	DESPAIR	DESPAIR	DESPAIR	JOY	JOY	DESPAIR	JOY	MEH	MEH	DESPAIR	DESPAIR	JOY	DESPAIR	JOY	JOY	DESPAIR	DESPAIR	MEH	DESPAIR	MEH	MEH	JOY	MEH	DESPAIR	DESPAIR	JOY	JOY	MEH	DESPAIR	MEH	JOY	DESPAIR	JOY	DESPAIR	DESPAIR	DESPAIR	JOY	JOY	JOY	DESPAIR	DESPAIR	DESPAIR	DESPAIR	DESPAIR	DESPAIR	DESPAIR	JOY	JOY	JOY	JOY	MEH	JOY	DESPAIR	DESPAIR	DESPAIR	DESPAIR	MEH	MEH	JOY	JOY	DESPAIR	MEH	JOY	MEH	JOY	DESPAIR	DESPAIR	JOY	JOY	MEH	DESPAIR	JOY	MEH	DESPAIR	JOY	JOY	DESPAIR	JOY	DESPAIR	DESPAIR	JOY	DESPAIR	DESPAIR	JOY	Quality brand dark chocolate	Rain on halloween and nuclear war. I thought we were over that. Fuck you trump for making me fret about nukes again. 	Anything hershey should automatically get ranked dispair. How are they still in business?  Why are you so obsessed with candy corn? Did you know they fit nicely up your sinuses?	White and gold		Sunday		1			
90272868	No	Female	37	Canada	Ontario	MEH	JOY	JOY	MEH	JOY	DESPAIR	MEH	DESPAIR	DESPAIR	JOY	MEH	DESPAIR	DESPAIR	MEH	JOY	JOY	DESPAIR	DESPAIR	JOY	DESPAIR	DESPAIR	DESPAIR	MEH	JOY	DESPAIR	DESPAIR	JOY	MEH	DESPAIR	DESPAIR	DESPAIR	DESPAIR	JOY	DESPAIR	MEH	MEH	DESPAIR	DESPAIR	MEH	DESPAIR	JOY	DESPAIR	DESPAIR	JOY	MEH	MEH	MEH	DESPAIR	MEH	MEH	DESPAIR	MEH	MEH	MEH	JOY	MEH	MEH	JOY	MEH	MEH	MEH	MEH	MEH	JOY	MEH	DESPAIR	MEH	DESPAIR	MEH	JOY	MEH	DESPAIR	DESPAIR	MEH	DESPAIR	JOY	JOY	MEH	MEH	DESPAIR	DESPAIR	DESPAIR	MEH	MEH	MEH	DESPAIR	DESPAIR	MEH	JOY	DESPAIR	DESPAIR	DESPAIR	DESPAIR	JOY	JOY	DESPAIR	JOY	DESPAIR	MEH	JOY	DESPAIR	DESPAIR	JOY	Cheesy Snax	Coupons		Blue and black		Sunday		1			"(75, 25)"
90272878	No	Male	64	USA	Texas	JOY	MEH	JOY	MEH	JOY	MEH	DESPAIR	JOY	DESPAIR	JOY	JOY		MEH	JOY	JOY	JOY	JOY	MEH	MEH	DESPAIR	DESPAIR	MEH	JOY	MEH	DESPAIR	JOY	MEH	JOY	MEH	JOY	JOY	JOY	JOY	JOY	JOY	JOY	DESPAIR	DESPAIR	MEH	DESPAIR	MEH	MEH	DESPAIR	MEH	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	MEH	JOY	JOY	JOY	JOY	JOY	JOY	JOY	JOY	DESPAIR	MEH	MEH	MEH	JOY	JOY	JOY	JOY	MEH	DESPAIR	MEH	DESPAIR	MEH	JOY	JOY	JOY	JOY	MEH	DESPAIR	JOY	JOY	JOY	DESPAIR	MEH	DESPAIR	DESPAIR	DESPAIR	DESPAIR	DESPAIR	DESPAIR	DESPAIR	JOY	JOY	MEH	JOY	MEH	MEH	JOY	DESPAIR	DESPAIR	MEH						Friday		1			"(74, 30)"
90272880	No	I'd rather not say	59	USA	NEW YORK	JOY	MEH	JOY	JOY	MEH	MEH	DESPAIR	MEH	DESPAIR	JOY	JOY	JOY	DESPAIR	JOY	JOY	JOY	MEH	DESPAIR	JOY	DESPAIR	DESPAIR	DESPAIR	JOY	DESPAIR	DESPAIR	DESPAIR	DESPAIR	JOY	DESPAIR	DESPAIR	DESPAIR	MEH	JOY	JOY	JOY	JOY	MEH	DESPAIR	DESPAIR	DESPAIR	MEH	DESPAIR	DESPAIR	JOY	JOY	DESPAIR	DESPAIR	MEH	JOY	JOY	DESPAIR	JOY	DESPAIR	MEH	MEH	JOY	JOY	JOY	JOY	JOY	JOY	JOY	DESPAIR	MEH	MEH	MEH	JOY	DESPAIR	DESPAIR	JOY	DESPAIR	MEH	DESPAIR	MEH	DESPAIR	JOY	JOY	MEH	MEH	DESPAIR	DESPAIR	DESPAIR	DESPAIR	JOY	DESPAIR	DESPAIR	DESPAIR	DESPAIR	DESPAIR	DESPAIR	JOY	DESPAIR	DESPAIR	JOY	JOY	DESPAIR	MEH	DESPAIR	DESPAIR	MEH	DESPAIR	DESPAIR	MEH	Cadbury Fingers	fake licorice	Happy Halloween	Blue and black		Sunday		1			"(79, 5)"
90272881	No	Male	48	US	CO	MEH	DESPAIR	JOY	MEH	MEH	MEH	DESPAIR	DESPAIR	DESPAIR	MEH	JOY	DESPAIR	MEH	JOY	MEH	JOY	MEH	MEH	MEH	DESPAIR	DESPAIR	MEH	JOY	MEH	DESPAIR	DESPAIR	MEH	DESPAIR	DESPAIR	MEH	MEH	MEH	MEH	JOY	JOY	JOY	DESPAIR	DESPAIR	MEH	MEH	MEH	MEH	DESPAIR	JOY	JOY	DESPAIR	DESPAIR	DESPAIR	MEH	JOY	MEH	JOY	DESPAIR	DESPAIR	MEH	JOY	JOY	JOY	JOY	JOY	JOY	JOY	MEH	MEH	MEH	JOY	JOY	DESPAIR	DESPAIR	JOY	MEH	DESPAIR	DESPAIR	DESPAIR	DESPAIR	JOY	JOY	MEH	MEH	MEH	JOY	MEH	JOY	JOY	DESPAIR	DESPAIR	MEH	JOY	MEH	MEH	MEH	MEH	DESPAIR	MEH	JOY	MEH	JOY	DESPAIR	DESPAIR	JOY	DESPAIR	MEH	MEH				White and gold		Sunday		1			"(79, 29)"
90272883	No	Female	54	United States	IN																																																																																																																		
90272884	No	Female	36	United States	MN																																																																																																																		
90272885	No	Male	45	uk	aberdeenshire		MEH	JOY	MEH			DESPAIR	DESPAIR	DESPAIR		JOY		MEH		JOY	JOY				DESPAIR	DESPAIR			MEH		MEH			MEH	MEH	JOY	MEH	MEH	MEH	MEH	MEH	MEH	DESPAIR	MEH				DESPAIR	MEH	JOY	MEH		MEH	JOY	JOY	JOY	JOY				MEH	JOY		JOY	JOY						JOY							DESPAIR		DESPAIR	JOY	JOY		JOY		MEH		JOY	JOY		MEH	JOY					MEH			JOY	MEH	JOY										Blue and black		Sunday		1			"(58, 5)"
90272886	Yes	Male	33	Canada	Alberta	MEH	DESPAIR	JOY	MEH	JOY	JOY	MEH	MEH	DESPAIR	JOY	JOY	MEH	DESPAIR	JOY	JOY	JOY	MEH	MEH	JOY	JOY	DESPAIR	DESPAIR	JOY	JOY	DESPAIR	JOY	JOY	JOY	MEH	MEH	MEH	DESPAIR	DESPAIR	JOY	JOY	JOY	DESPAIR	DESPAIR	JOY	MEH	MEH	MEH	DESPAIR	JOY	JOY	JOY	JOY	JOY	DESPAIR	JOY	MEH	JOY	MEH	MEH	JOY	JOY	JOY	MEH	JOY	JOY	JOY	MEH		JOY	MEH	JOY	JOY	MEH	MEH	JOY	MEH	DESPAIR	DESPAIR	JOY	MEH	JOY	MEH	MEH	JOY	JOY	JOY	MEH	JOY	JOY	MEH	DESPAIR	MEH	MEH	JOY	DESPAIR	JOY	MEH	DESPAIR	JOY	JOY	DESPAIR	JOY	JOY	JOY	JOY	DESPAIR	DESPAIR	MEH	Sour keys	A muffin	"Trick or treating isn't complete until you find that one house, with the lonely old alcoholic who doesn't realize it's halloween, who gives you a handful of un-shelled peanuts from his table so he can go back to drinking alone."	Blue and black		Friday		1			"(76, 13)"
90272887	Yes	Male	37	United States	"Wisconsin, 53705"	MEH	DESPAIR	JOY				JOY	DESPAIR	DESPAIR	JOY	JOY	MEH	DESPAIR		JOY			DESPAIR		JOY	DESPAIR	DESPAIR	JOY			MEH		DESPAIR	DESPAIR	DESPAIR	MEH	DESPAIR	JOY	JOY	JOY	JOY	DESPAIR	DESPAIR	MEH		JOY		DESPAIR		JOY	JOY	MEH	DESPAIR	DESPAIR	MEH	MEH		DESPAIR		MEH	JOY	JOY	JOY						DESPAIR			MEH	DESPAIR	JOY	JOY		DESPAIR	DESPAIR	MEH	DESPAIR	JOY	JOY		JOY		JOY	MEH		JOY	JOY		JOY	MEH	MEH		MEH	DESPAIR	DESPAIR	JOY		DESPAIR	JOY						JOY				White and gold		Friday		1			"(85, 16)"
90272891	No	Female	49	United States	RI	JOY	MEH	JOY	DESPAIR	DESPAIR	MEH	DESPAIR	DESPAIR	DESPAIR	JOY	DESPAIR	MEH	DESPAIR	JOY	MEH	JOY	MEH	DESPAIR	MEH	DESPAIR	DESPAIR	DESPAIR	MEH	DESPAIR	MEH	MEH	JOY	MEH	DESPAIR	MEH	DESPAIR	DESPAIR	JOY	MEH	MEH	DESPAIR	JOY	MEH	MEH	MEH	MEH	MEH	DESPAIR	MEH	JOY	DESPAIR	DESPAIR	DESPAIR	DESPAIR	MEH	DESPAIR	MEH	MEH	MEH	MEH	MEH	MEH	JOY	MEH	MEH	MEH	MEH	MEH	DESPAIR	DESPAIR	JOY	MEH	MEH	DESPAIR	MEH	DESPAIR	DESPAIR	DESPAIR	MEH	DESPAIR	JOY	MEH	MEH	JOY	DESPAIR	MEH	MEH	MEH	JOY	DESPAIR	DESPAIR	DESPAIR	DESPAIR	MEH	MEH	JOY	DESPAIR	DESPAIR	MEH	MEH	DESPAIR	JOY	JOY	JOY	MEH	DESPAIR	DESPAIR	DESPAIR	"Payday, baby Ruth "		Suggest all households adopt my tradition of candy for children and mulled cider with rum for adults								
90272892	No	Male	48	United States	NC																																																																																																																		
90272894	No	Male	25	United Kingdom	Scotland																																																																																																																		
